id_TMDB,id_IMDB,nome,nacionalidade,num_oscars
1709,nm0202603,Jack Davenport,"Suffolk, England, UK",0
1710,nm0034305,Lee Arenberg,"Palo Alto, California, USA",0
1711,nm0188871,Mackenzie Crook,Maidstone - Kent - England - UK,0
1712,nm1400933,Damian O'Hare,"Belfast, Northern Ireland, UK",0
1713,nm1099016,Giles New,,0
1714,nm0055845,Angus Barnett,"Ruddington, Nottinghamshire, England, UK",0
1715,nm0047549,David Bailie,"Springs, South Africa",0
1717,nm0802280,Isaac C. Singleton Jr.,"Melbourne, Florida, USA",0
34486,nm0424534,Ashley Johnson,"Camarillo, California, USA",0
67259,nm0157889,Tony Ching Siu-Tung,"Anhui, China",0
2393789,,Justin Lacalamita,,0
