id_TMDB,id_IMDB,titulo,titulo_original,sinopse,duracao,ano,classificacao,situacao,idioma_original,orcamento,receita,num_oscars
155,tt0468569,Batman: O Cavaleiro das Trevas,The Dark Knight,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego.",152,2008,United States:TV-14::(LV),Released,en,185000000,1004558444,2.0
671,tt0241527,Harry Potter e a Pedra Filosofal,Harry Potter and the Philosopher's Stone,"Harry Potter é um garoto órfão que vive infeliz com seus tios, os Dursley. Em seu aniversário de 11 anos ele recebe uma carta que mudará sua vida: um convite para ingressar em Hogwarts.",152,2001,United States:TV-PG::(ABC Family),Released,en,125000000,976475550,0.0
93456,tt1690953,Meu Malvado Favorito 2,Despicable Me 2,"Gru mudou radicalmente sua vida e se dedica às filhotas Agnes, Edith e Margo, deixando de lado os tempos de vilão. Ele só não contava que seu passado fosse responsável pelo seu recrutamento pela Liga Antivilões para salvar o mundo na companhia da agente Lucy. Juntos, eles precisam localizar o criminoso que roubou a fórmula PX41 e Gru desconfia que seu antigo concorrente El Macho possa ser o responsável.",98,2013,United States:TV-PG::(V),Released,en,76000000,970761885,0.0
278927,tt3040964,Mogli - O Menino Lobo,The Jungle Book,"Mogli é um menino criado por uma família de lobos. Mas Mogli sente que não é mais bem-vindo na floresta quando o temido tigre Shere Khan, que carrega cicatrizes causadas por caçadores, promete eliminar o que ele considera uma ameaça. Forçado a abandonar o único lar que conhece, Mogli embarca em uma cativante jornada de autoconhecimento, guiado pela pantera e mentora Bagheera e pelo alegre urso Baloo. Pelo caminho, Mogli encontra criaturas da selva que não são exatamente bondosas, incluindo Kaa, uma cobra cuja voz sedutora e olhar penetrante hipnotizam o menino-lobo, e Rei Loiue, o nobre de fala mansa que tenta convencer Mogli a contar o segredo da ilusória flor vermelha mortal: o fogo.",106,2016,United States:PG,Released,en,175000000,966550600,1.0
353486,tt2283362,Jumanji: Bem-Vindo à Selva,Jumanji: Welcome to the Jungle,"Quatro adolescentes que estão de castigo depois das aulas encontram um console de videogame antigo com um jogo que nunca tinham ouvido falar. Quando decidem jogar, são imediatamente sugados para dentro de uma selva, para o mundo de Jumanji, onde assumem os corpos dos seus avatares. Eles têm que ir até o fim da maior aventura de suas vidas, recheada de diversão, emoções e perigos, ou ficarão para sempre dentro do jogo!",119,2017,United States:PG-13,Released,en,90000000,962102237,0.0
285,tt0449088,Piratas do Caribe: No Fim do Mundo,Pirates of the Caribbean: At World's End,"Will Turner e Elizabeth Swann unem forças com o Capitão Barbossa para libertarem Jack Sparrow da prisão de Davy Jones. Enquanto isso, a tripulação do barco fantasma O Holandês Voador causa estragos nos Sete Mares. Os amigos devem navegar através de águas perigosas para enfrentarem o pirata chinês São Feng e, finalmente, eles devem escolher em que lado ficar na batalha, pois a vida do pirata está em jogo.",169,2007,United States:PG-13,Released,en,300000000,961000000,0.0
57158,tt1170358,O Hobbit: A Desolação de Smaug,The Hobbit: The Desolation of Smaug,"Ao lado de um grupo de anões e de Gandalf, Bilbo segue em direção à Montanha Solitária, onde deverá ajudar seus companheiros a retomar a Pedra de Arken. O problema é que o artefato está perdido em meio a um tesouro protegido pelo temido dragão Smaug.",161,2013,United States:PG-13,Released,en,250000000,958400000,0.0
122917,tt2310332,O Hobbit: A Batalha dos Cinco Exércitos,The Hobbit: The Battle of the Five Armies,"O dragão Smaug lança sua fúria ardente contra a Cidade do Lago que fica próxima da montanha de Erebor. Bard consegue derrotá-lo, mas, rapidamente, sem a ameaça do dragão, inicia-se uma batalha pelo controle de Erebor e sua riqueza. Os anões, liderados por Thorin, adentram a montanha e estão dispostos a impedir a entrada de elfos, anões e orcs. Bilbo Bolseiro e Gandalf tentam impedir a guerra.",144,2014,United States:PG-13,Released,en,250000000,956019788,0.0
12444,tt0926084,Harry Potter e as Relíquias da Morte - Parte 1,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron e Hermione estão determinados em sua missão de descobrir e acabar com o segredo da imortalidade e do poder de destruição de Voldemort – os Horcruxes. Fugitivos e sozinhos, os três amigos devem apenas contar uns com os outros, agora mas do que nunca... Mas as Forças das Trevas no caminho ameaçam separá-los para sempre.",146,2010,United States:PG-13,Released,en,250000000,954305868,0.0
12,tt0266543,Procurando Nemo,Finding Nemo,"Depois que seu filho é capturado na Grande Barreira de Corais e levado para Sydney, um peixe-palhaço tímido parte em uma jornada para trazê-lo para casa.",100,2003,United States:TV-Y7,Released,en,94000000,940335536,1.0
