nome_genero,id_filme_TMDB
Thriller,163
Crime,163
Drama,86834
Aventura,86834
Thriller,869
Ficção científica,869
Ação,869
Aventura,869
Comédia,109439
Aventura,36643
Ação,36643
Thriller,36643
Comédia,6477
Família,6477
Fantasia,6477
Animação,6477
Ação,38575
Aventura,38575
Drama,38575
Família,38575
Comédia,772
Família,772
Aventura,772
Animação,76492
Comédia,76492
Família,76492
Fantasia,76492
Ação,180
Thriller,180
Ficção científica,180
Mistério,180
Romance,372058
Animação,372058
Drama,372058
Ação,744
Drama,744
Aventura,744
Fantasia,258489
Ação,258489
Aventura,258489
Drama,258489
Romance,258489
Drama,14
Aventura,72545
Ação,72545
Ficção científica,72545
Drama,568
História,568
Aventura,568
Drama,380
Ficção científica,438631
Aventura,438631
Família,10567
Animação,10567
Ação,49538
Ficção científica,49538
Aventura,49538
Thriller,402
Mistério,402
Aventura,710
Ação,710
Thriller,710
Drama,640
Crime,640
Mistério,392044
Crime,392044
Drama,392044
Thriller,75656
Crime,75656
Crime,9740
Drama,9740
Thriller,9740
Terror,9740
Romance,854
Comédia,854
Crime,854
Fantasia,854
Animação,381719
Aventura,381719
Família,381719
Drama,64682
Romance,64682
Ação,1637
Aventura,1637
Crime,1637
Animação,153518
Aventura,153518
Comédia,153518
Ação,8656
Drama,8656
Ficção científica,8656
Animação,73723
Família,73723
Fantasia,400650
Família,400650
Comédia,400650
Ação,198663
Mistério,198663
Ficção científica,198663
Thriller,198663
Família,43956
Animação,43956
Aventura,43956
Comédia,43956
Aventura,2059
Ação,2059
Thriller,2059
Mistério,2059
Fantasia,77931
Família,77931
Comédia,77931
Animação,77931
Ação,5175
Comédia,5175
Crime,5175
Ação,2048
Ficção científica,2048
Família,136799
Animação,136799
Fantasia,136799
Aventura,136799
Comédia,136799
Música,136799
Ação,47971
Aventura,47971
Crime,47971
Aventura,10530
Animação,10530
Família,10530
Romance,10530
Família,8871
Comédia,8871
Fantasia,8871
Ação,188927
Aventura,188927
Ficção científica,188927
Família,7518
Comédia,7518
Animação,7518
Comédia,55301
Fantasia,55301
Família,55301
Música,55301
Animação,55301
Ação,8909
Thriller,8909
Crime,8909
Fantasia,888
Comédia,888
Família,888
Terror,447332
Drama,447332
Ficção científica,447332
Comédia,4523
Família,4523
Fantasia,4523
Romance,4523
Ação,53182
Drama,53182
Ação,414
Crime,414
Fantasia,414
Aventura,9543
Fantasia,9543
Ação,9543
Ação,9802
Aventura,9802
Thriller,9802
Thriller,291805
Ação,291805
Comédia,291805
Aventura,58574
Ação,58574
Crime,58574
Mistério,58574
Comédia,479306
Fantasia,479306
Família,36218
Ação,36218
Animação,36218
Aventura,36218
Fantasia,36218
Ficção científica,36218
Drama,4922
Fantasia,4922
Romance,4922
Ação,9738
Aventura,9738
Fantasia,9738
Ficção científica,9738
Aventura,714
Ação,714
Thriller,714
Aventura,87
Ação,87
Aventura,105864
Animação,105864
Família,105864
Aventura,165
Comédia,165
Família,165
Ficção científica,165
Ação,311324
Aventura,311324
Fantasia,311324
Comédia,550988
Ação,550988
Aventura,550988
Ficção científica,550988
Comédia,1597
Romance,1597
Fantasia,856
Animação,856
Comédia,856
Crime,856
Família,856
Drama,44214
Thriller,44214
Terror,44214
Aventura,9671
Comédia,9671
Crime,807
Mistério,807
Thriller,807
Ação,458156
Thriller,458156
Crime,458156
Comédia,350
Drama,350
Romance,350
Thriller,260346
Ação,260346
Ação,2133
Aventura,2133
Drama,2133
Thriller,2133
Drama,10545
Animação,10545
Família,10545
Animação,17979
Família,17979
Drama,17979
Fantasia,17979
Animação,38055
Ação,38055
Comédia,38055
Família,38055
Ficção científica,38055
Aventura,943
Ação,943
Comédia,943
Thriller,943
Crime,943
Comédia,20943
Romance,20943
Aventura,20662
Drama,16869
Ação,16869
Thriller,16869
Guerra,16869
Drama,424
História,424
Guerra,424
Família,11674
Comédia,11674
Terror,259693
Mistério,259693
Thriller,259693
Drama,44947
História,44947
Música,44947
Drama,10998
Thriller,10998
Ação,10196
Aventura,10196
Fantasia,10196
Drama,490132
Comédia,490132
Terror,138843
Thriller,138843
Comédia,18240
Romance,18240
Drama,18240
Ação,90
Comédia,90
Crime,90
Ação,9772
Thriller,9772
Ação,76163
Aventura,76163
Thriller,76163
Animação,9982
Família,9982
Comédia,9982
Comédia,2898
Romance,2898
Drama,453
Romance,453
Ficção científica,294254
Ação,294254
Thriller,294254
Aventura,294254
Ação,173897
Terror,173897
Ficção científica,173897
Aventura,817
Comédia,817
Crime,817
Ficção científica,817
Família,324849
Ação,324849
Animação,324849
Comédia,324849
Fantasia,324849
Família,228165
Aventura,228165
Comédia,228165
Fantasia,228165
Animação,228165
Crime,298
Thriller,298
Comédia,39451
Romance,39451
Animação,5255
Família,5255
Aventura,5255
Fantasia,5255
Comédia,5255
Drama,360814
Ação,360814
Animação,13053
Família,13053
Aventura,13053
Comédia,13053
Ação,3595
Thriller,3595
Comédia,4806
Romance,4806
Comédia,546554
Drama,546554
Crime,546554
Mistério,546554
Drama,22881
Romance,222935
Drama,222935
Drama,1402
Família,81188
Animação,81188
Fantasia,81188
Ação,81188
Aventura,81188
Ficção científica,840
Drama,840
Comédia,1574
Crime,1574
Drama,1574
Ação,454626
Ficção científica,454626
Comédia,454626
Família,454626
Terror,396422
Mistério,396422
Thriller,396422
Drama,406997
Família,406997
Ação,47964
Thriller,47964
Animação,10674
Família,10674
Aventura,10674
Drama,274870
Romance,274870
Ficção científica,274870
Thriller,44833
Ação,44833
Aventura,44833
Ficção científica,44833
Comédia,1624
Aventura,14869
Ação,14869
Thriller,14869
Ficção científica,14869
Fantasia,57165
Aventura,57165
Aventura,1979
Fantasia,1979
Ação,1979
Thriller,1979
Aventura,879
Fantasia,879
Comédia,879
Família,879
Drama,1374
Ação,1369
Aventura,1369
Thriller,1369
Guerra,1369
Terror,7131
Aventura,7131
Ação,7131
Ação,35791
Aventura,35791
Terror,35791
Ficção científica,35791
Ficção científica,1924
Ação,1924
Aventura,1924
Família,10137
Animação,10137
Fantasia,10137
Comédia,10137
Ação,524434
Aventura,524434
Ficção científica,524434
Ação,96
Comédia,96
Crime,96
Aventura,241259
Família,241259
Fantasia,241259
Comédia,8874
Romance,8874
Ação,39254
Ficção científica,39254
Drama,39254
Animação,12222
Comédia,12222
Família,12222
Aventura,12222
Fantasia,12222
Crime,402900
Comédia,402900
Ação,402900
Ficção científica,520763
Thriller,520763
Terror,520763
Comédia,9494
Romance,9494
Comédia,818
Crime,818
Ficção científica,818
Drama,283366
Fantasia,283366
Aventura,283366
Família,283366
Aventura,36657
Ação,36657
Ficção científica,36657
Comédia,620
Fantasia,620
Ação,262500
Aventura,262500
Ficção científica,262500
Thriller,262500
Animação,364689
Família,364689
Aventura,364689
Comédia,364689
Drama,11324
Thriller,11324
Mistério,11324
Comédia,3050
Família,3050
Fantasia,3050
Ação,27576
Mistério,27576
Thriller,27576
Família,19585
Fantasia,19585
Ação,19585
Aventura,19585
Comédia,19585
Ação,447200
Thriller,447200
Drama,1422
Thriller,1422
Crime,1422
Drama,2655
Terror,2655
Mistério,2655
Thriller,2655
Comédia,37786
Drama,37786
Romance,37786
Ação,268896
Fantasia,268896
Ficção científica,268896
Aventura,268896
Romance,1934
História,1934
Comédia,1934
Comédia,9602
Romance,9602
Ação,157350
Aventura,157350
Ficção científica,157350
Ação,2502
Drama,2502
Thriller,2502
Comédia,55721
Romance,55721
Ficção científica,336843
Ação,336843
Aventura,336843
Thriller,336843
Fantasia,8839
Comédia,8839
Família,8839
Família,5559
Animação,5559
Aventura,5559
Comédia,5559
Comédia,2770
Romance,2770
Comédia,254470
Música,254470
Fantasia,497
Drama,497
Crime,497
Ação,75612
Ficção científica,75612
Aventura,75612
Mistério,75612
Ficção científica,68724
Ação,68724
Drama,68724
Thriller,68724
Ação,944
Aventura,944
Comédia,944
Crime,944
Thriller,944
Comédia,9522
Romance,9522
Ação,49529
Aventura,49529
Ficção científica,49529
Animação,77950
Família,77950
Comédia,634
Romance,634
Drama,634
Ação,364
Fantasia,364
Ação,37710
Thriller,37710
Romance,37710
Terror,381288
Thriller,381288
Ação,299824
Aventura,299824
Fantasia,299824
Comédia,4247
Ação,7451
Aventura,7451
Thriller,7451
Ação,49040
Thriller,49040
Ação,350312
Aventura,350312
Drama,350312
Mistério,9637
Aventura,9637
Comédia,9637
História,72976
Drama,72976
Animação,129
Família,129
Fantasia,129
Aventura,1995
Fantasia,1995
Ação,1995
Thriller,1995
Ação,338970
Aventura,338970
Fantasia,338970
Thriller,27578
Aventura,27578
Ação,27578
Comédia,9390
Drama,9390
Romance,9390
Aventura,8961
Ação,8961
Comédia,8961
Thriller,8961
Crime,8961
Animação,11544
Família,11544
Animação,82703
Aventura,82703
Família,82703
Crime,274
Drama,274
Thriller,274
Comédia,38365
Romance,10198
Família,10198
Animação,10198
Comédia,195589
Drama,37233
Mistério,37233
Thriller,37233
Drama,1371
Comédia,138832
Crime,138832
Drama,13223
Aventura,7840
Ação,7840
Drama,7840
Fantasia,7840
Animação,116711
Aventura,116711
Família,116711
Fantasia,116711
Aventura,147441
Drama,147441
Ação,147441
Drama,6964
Comédia,6964
Romance,6964
Romance,4478
Drama,4478
Drama,4982
Crime,4982
Aventura,9804
Ação,9804
Ficção científica,9804
Comédia,37165
Drama,37165
Ação,4327
Aventura,4327
Comédia,4327
Crime,4327
Thriller,4327
Aventura,18
Fantasia,18
Ação,18
Thriller,18
Ficção científica,18
Aventura,8844
Fantasia,8844
Família,8844
Comédia,496
Animação,9928
Comédia,9928
Família,9928
Ficção científica,9928
Comédia,9801
Romance,9801
Ação,37834
Comédia,37834
Ação,861
Aventura,861
Ficção científica,861
Música,13576
Documentário,13576
Ação,290859
Aventura,290859
Ficção científica,290859
Thriller,290859
